,dataset,filename,actor,emotion,statement,length,gender
39,TESS,clean/TESS/OAF_yes_fear.wav,OAF,fearful,yes,1.5886167800453515,female
40,TESS,clean/TESS/YAF_love_happy.wav,YAF,happy,love,1.7885714285714285,female
41,TESS,clean/TESS/YAF_raise_disgust.wav,YAF,disgusted,raise,2.579909297052154,female
42,TESS,clean/TESS/OAF_peg_happy.wav,OAF,happy,peg,2.163764172335601,female
43,TESS,clean/TESS/YAF_gaze_happy.wav,YAF,happy,gaze,2.138231292517007,female
44,TESS,clean/TESS/YAF_kite_happy.wav,YAF,happy,kite,1.7570975056689342,female
45,TESS,clean/TESS/OAF_rush_disgust.wav,OAF,disgusted,rush,2.3110657596371884,female
46,TESS,clean/TESS/OAF_turn_ps.wav,OAF,surprised,turn,1.869251700680272,female
47,TESS,clean/TESS/YAF_turn_sad.wav,YAF,sad,turn,2.1491156462585033,female
48,TESS,clean/TESS/OAF_sheep_disgust.wav,OAF,disgusted,sheep,2.2068480725623583,female
49,TESS,clean/TESS/YAF_came_ps.wav,YAF,surprised,came,2.1796371882086167,female
50,TESS,clean/TESS/OAF_chalk_angry.wav,OAF,angry,chalk,1.3952380952380952,female
51,TESS,clean/TESS/YAF_dime_neutral.wav,YAF,neutral,dime,1.9416326530612245,female
52,TESS,clean/TESS/YAF_should_fear.wav,YAF,fearful,should,1.7058049886621316,female
53,TESS,clean/TESS/YAF_team_happy.wav,YAF,happy,team,2.0638548752834467,female
54,TESS,clean/TESS/OAF_doll_neutral.wav,OAF,neutral,doll,2.2226303854875282,female
55,TESS,clean/TESS/OAF_thin_fear.wav,OAF,fearful,thin,1.6094784580498867,female
56,TESS,clean/TESS/OAF_fit_angry.wav,OAF,angry,fit,1.6016326530612246,female
57,TESS,clean/TESS/OAF_lose_fear.wav,OAF,fearful,lose,1.4464399092970521,female
58,TESS,clean/TESS/OAF_size_ps.wav,OAF,surprised,size,2.3699773242630386,female
59,TESS,clean/TESS/YAF_bar_neutral.wav,YAF,neutral,bar,1.948299319727891,female
60,TESS,clean/TESS/OAF_haze_happy.wav,OAF,happy,haze,2.029160997732426,female
61,TESS,clean/TESS/OAF_pole_fear.wav,OAF,fearful,pole,1.9751927437641723,female
62,TESS,clean/TESS/OAF_kick_fear.wav,OAF,fearful,kick,1.4156462585034013,female
63,TESS,clean/TESS/YAF_jar_happy.wav,YAF,happy,jar,1.838548752834467,female
64,TESS,clean/TESS/YAF_white_happy.wav,YAF,happy,white,1.9925170068027211,female
65,TESS,clean/TESS/YAF_love_neutral.wav,YAF,neutral,love,1.974965986394558,female
66,TESS,clean/TESS/OAF_nag_fear.wav,OAF,fearful,nag,1.7132426303854875,female
67,TESS,clean/TESS/YAF_rot_neutral.wav,YAF,neutral,rot,2.17265306122449,female
68,TESS,clean/TESS/OAF_lose_ps.wav,OAF,surprised,lose,2.3947392290249434,female
69,TESS,clean/TESS/OAF_check_sad.wav,OAF,sad,check,2.379591836734694,female
70,TESS,clean/TESS/YAF_rag_ps.wav,YAF,surprised,rag,2.157233560090703,female
71,TESS,clean/TESS/YAF_mouse_angry.wav,YAF,angry,mouse,2.2823129251700682,female
72,TESS,clean/TESS/OAF_bite_sad.wav,OAF,sad,bite,2.7779591836734694,female
73,TESS,clean/TESS/YAF_pad_sad.wav,YAF,sad,pad,2.242766439909297,female
74,TESS,clean/TESS/YAF_bean_neutral.wav,YAF,neutral,bean,1.735374149659864,female
75,TESS,clean/TESS/OAF_chat_sad.wav,OAF,sad,chat,2.4062585034013604,female
76,TESS,clean/TESS/OAF_pike_ps.wav,OAF,surprised,pike,1.831655328798186,female
77,TESS,clean/TESS/OAF_pass_disgust.wav,OAF,disgusted,pass,2.25718820861678,female
78,TESS,clean/TESS/OAF_thin_ps.wav,OAF,surprised,thin,2.2043990929705215,female
79,TESS,clean/TESS/OAF_juice_neutral.wav,OAF,neutral,juice,2.1454875283446713,female
80,TESS,clean/TESS/OAF_met_fear.wav,OAF,fearful,met,1.482766439909297,female
81,TESS,clean/TESS/YAF_kite_sad.wav,YAF,sad,kite,2.2691156462585034,female
82,TESS,clean/TESS/YAF_ditch_disgust.wav,YAF,disgusted,ditch,2.319909297052154,female
83,TESS,clean/TESS/YAF_yes_sad.wav,YAF,sad,yes,2.2189115646258504,female
84,TESS,clean/TESS/OAF_read_happy.wav,OAF,happy,read,1.935374149659864,female
85,TESS,clean/TESS/YAF_whip_angry.wav,YAF,angry,whip,1.998140589569161,female
86,TESS,clean/TESS/OAF_dip_fear.wav,OAF,fearful,dip,1.3964172335600906,female
87,TESS,clean/TESS/OAF_hash_fear.wav,OAF,fearful,hash,1.8289342403628117,female
88,TESS,clean/TESS/YAF_fail_fear.wav,YAF,fearful,fail,1.7026303854875284,female
89,TESS,clean/TESS/OAF_mood_fear.wav,OAF,fearful,mood,1.386938775510204,female
90,TESS,clean/TESS/YAF_pike_sad.wav,YAF,sad,pike,2.2188662131519274,female
91,TESS,clean/TESS/OAF_bath_fear.wav,OAF,fearful,bath,1.7751927437641724,female
92,TESS,clean/TESS/YAF_mop_angry.wav,YAF,angry,mop,2.0352380952380953,female
93,TESS,clean/TESS/OAF_far_fear.wav,OAF,fearful,far,1.595736961451247,female
94,TESS,clean/TESS/OAF_red_happy.wav,OAF,happy,red,1.9202721088435375,female
95,TESS,clean/TESS/OAF_ton_sad.wav,OAF,sad,ton,2.6536961451247167,female
96,TESS,clean/TESS/YAF_read_ps.wav,YAF,surprised,read,1.7194104308390024,female
97,TESS,clean/TESS/YAF_mode_ps.wav,YAF,surprised,mode,2.153877551020408,female
98,TESS,clean/TESS/YAF_pole_neutral.wav,YAF,neutral,pole,2.140498866213152,female
99,TESS,clean/TESS/YAF_door_disgust.wav,YAF,disgusted,door,2.272925170068027,female
100,TESS,clean/TESS/YAF_gin_neutral.wav,YAF,neutral,gin,2.1142403628117914,female
101,TESS,clean/TESS/OAF_learn_angry.wav,OAF,angry,learn,1.5158730158730158,female
102,TESS,clean/TESS/YAF_fail_neutral.wav,YAF,neutral,fail,2.0918367346938775,female
103,TESS,clean/TESS/YAF_pearl_angry.wav,YAF,angry,pearl,1.945487528344671,female
104,TESS,clean/TESS/OAF_lid_happy.wav,OAF,happy,lid,2.013151927437642,female
105,TESS,clean/TESS/OAF_vote_ps.wav,OAF,surprised,vote,2.3426757369614513,female
106,TESS,clean/TESS/YAF_youth_fear.wav,YAF,fearful,youth,1.745079365079365,female
107,TESS,clean/TESS/OAF_such_fear.wav,OAF,fearful,such,1.4682539682539681,female
108,TESS,clean/TESS/OAF_knock_sad.wav,OAF,sad,knock,2.5342403628117913,female
109,TESS,clean/TESS/YAF_mill_neutral.wav,YAF,neutral,mill,2.101360544217687,female
110,TESS,clean/TESS/YAF_sure_sad.wav,YAF,sad,sure,2.2534240362811793,female
111,TESS,clean/TESS/YAF_merge_fear.wav,YAF,fearful,merge,1.884625850340136,female
112,TESS,clean/TESS/YAF_wash_sad.wav,YAF,sad,wash,2.414920634920635,female
113,TESS,clean/TESS/YAF_reach_ps.wav,YAF,surprised,reach,2.1978684807256235,female
114,TESS,clean/TESS/OAF_soup_fear.wav,OAF,fearful,soup,1.7912471655328799,female
115,TESS,clean/TESS/OAF_limb_angry.wav,OAF,angry,limb,1.6209977324263039,female
116,TESS,clean/TESS/YAF_note_disgust.wav,YAF,disgusted,note,2.3523809523809525,female
117,TESS,clean/TESS/YAF_mop_sad.wav,YAF,sad,mop,2.3132426303854876,female
118,TESS,clean/TESS/OAF_name_fear.wav,OAF,fearful,name,1.5325623582766439,female
119,TESS,clean/TESS/OAF_keg_angry.wav,OAF,angry,keg,1.4403628117913831,female
120,TESS,clean/TESS/YAF_mode_sad.wav,YAF,sad,mode,2.2444444444444445,female
121,TESS,clean/TESS/YAF_dab_happy.wav,YAF,happy,dab,1.8005442176870747,female
122,TESS,clean/TESS/OAF_gun_neutral.wav,OAF,neutral,gun,1.9702040816326531,female
123,TESS,clean/TESS/OAF_lore_happy.wav,OAF,happy,lore,2.086848072562358,female
124,TESS,clean/TESS/YAF_mouse_neutral.wav,YAF,neutral,mouse,2.1439455782312926,female
125,TESS,clean/TESS/YAF_death_happy.wav,YAF,happy,death,1.6493877551020408,female
126,TESS,clean/TESS/OAF_late_sad.wav,OAF,sad,late,2.390204081632653,female
127,TESS,clean/TESS/YAF_luck_ps.wav,YAF,surprised,luck,1.954467120181406,female
128,TESS,clean/TESS/YAF_phone_sad.wav,YAF,sad,phone,2.2244444444444444,female
129,TESS,clean/TESS/OAF_wash_angry.wav,OAF,angry,wash,1.7973696145124716,female
130,TESS,clean/TESS/OAF_lid_fear.wav,OAF,fearful,lid,1.5826303854875283,female
131,TESS,clean/TESS/OAF_thumb_angry.wav,OAF,angry,thumb,1.592562358276644,female
132,TESS,clean/TESS/OAF_mood_angry.wav,OAF,angry,mood,1.565170068027211,female
133,TESS,clean/TESS/OAF_haze_disgust.wav,OAF,disgusted,haze,2.35859410430839,female
134,TESS,clean/TESS/YAF_void_fear.wav,YAF,fearful,void,1.946530612244898,female
135,TESS,clean/TESS/YAF_fat_happy.wav,YAF,happy,fat,1.9461678004535148,female
136,TESS,clean/TESS/OAF_search_sad.wav,OAF,sad,search,2.4461224489795916,female
137,TESS,clean/TESS/OAF_void_angry.wav,OAF,angry,void,1.5442176870748299,female
138,TESS,clean/TESS/YAF_hash_happy.wav,YAF,happy,hash,1.9775510204081632,female
139,TESS,clean/TESS/OAF_time_ps.wav,OAF,surprised,time,2.1741950113378685,female
140,TESS,clean/TESS/YAF_when_happy.wav,YAF,happy,when,1.946485260770975,female
141,TESS,clean/TESS/YAF_room_fear.wav,YAF,fearful,room,1.748344671201814,female
142,TESS,clean/TESS/YAF_pearl_disgust.wav,YAF,disgusted,pearl,2.4094331065759635,female
143,TESS,clean/TESS/OAF_fall_ps.wav,OAF,surprised,fall,1.8369614512471655,female
144,TESS,clean/TESS/YAF_juice_ps.wav,YAF,surprised,juice,2.029931972789116,female
145,TESS,clean/TESS/YAF_rose_happy.wav,YAF,happy,rose,2.027936507936508,female
146,TESS,clean/TESS/OAF_whip_sad.wav,OAF,sad,whip,2.4746938775510205,female
147,TESS,clean/TESS/YAF_perch_ps.wav,YAF,surprised,perch,2.145124716553288,female
148,TESS,clean/TESS/YAF_turn_angry.wav,YAF,angry,turn,2.0519727891156463,female
149,TESS,clean/TESS/YAF_search_disgust.wav,YAF,disgusted,search,2.6896145124716555,female
150,TESS,clean/TESS/OAF_tape_sad.wav,OAF,sad,tape,2.6756462585034013,female
151,TESS,clean/TESS/OAF_which_ps.wav,OAF,surprised,which,1.9848979591836735,female
152,TESS,clean/TESS/OAF_void_disgust.wav,OAF,disgusted,void,2.235827664399093,female
153,TESS,clean/TESS/OAF_soap_happy.wav,OAF,happy,soap,1.897641723356009,female
154,TESS,clean/TESS/OAF_wash_neutral.wav,OAF,neutral,wash,1.9840362811791383,female
155,TESS,clean/TESS/OAF_ditch_fear.wav,OAF,fearful,ditch,1.803310657596372,female
156,TESS,clean/TESS/OAF_rough_neutral.wav,OAF,neutral,rough,1.9995918367346939,female
157,TESS,clean/TESS/OAF_perch_angry.wav,OAF,angry,perch,1.6798639455782314,female
158,TESS,clean/TESS/OAF_talk_sad.wav,OAF,sad,talk,2.624580498866213,female
159,TESS,clean/TESS/OAF_said_angry.wav,OAF,angry,said,1.4669387755102041,female
160,TESS,clean/TESS/OAF_book_angry.wav,OAF,angry,book,1.5300680272108844,female
161,TESS,clean/TESS/OAF_boat_happy.wav,OAF,happy,boat,1.6310204081632653,female
162,TESS,clean/TESS/YAF_merge_neutral.wav,YAF,neutral,merge,2.2541043083900227,female
163,TESS,clean/TESS/YAF_when_ps.wav,YAF,surprised,when,1.8796825396825396,female
164,TESS,clean/TESS/OAF_numb_fear.wav,OAF,fearful,numb,1.5610430839002267,female
165,TESS,clean/TESS/YAF_nag_angry.wav,YAF,angry,nag,2.043174603174603,female
166,TESS,clean/TESS/OAF_bean_sad.wav,OAF,sad,bean,2.3759183673469386,female
167,TESS,clean/TESS/OAF_when_sad.wav,OAF,sad,when,2.346122448979592,female
168,TESS,clean/TESS/YAF_cab_ps.wav,YAF,surprised,cab,1.802312925170068,female
169,TESS,clean/TESS/OAF_rat_fear.wav,OAF,fearful,rat,1.6505215419501134,female
170,TESS,clean/TESS/OAF_get_angry.wav,OAF,angry,get,1.6449886621315193,female
171,TESS,clean/TESS/YAF_near_angry.wav,YAF,angry,near,2.0360090702947846,female
172,TESS,clean/TESS/YAF_bath_happy.wav,YAF,happy,bath,1.8174603174603174,female
173,TESS,clean/TESS/OAF_far_angry.wav,OAF,angry,far,1.509342403628118,female
174,TESS,clean/TESS/YAF_luck_neutral.wav,YAF,neutral,luck,2.078185941043084,female
175,TESS,clean/TESS/OAF_pool_angry.wav,OAF,angry,pool,1.3765532879818594,female
176,TESS,clean/TESS/YAF_vine_sad.wav,YAF,sad,vine,2.1872562358276646,female
177,TESS,clean/TESS/YAF_bite_ps.wav,YAF,surprised,bite,1.7857142857142858,female
178,TESS,clean/TESS/OAF_king_sad.wav,OAF,sad,king,2.5419954648526075,female
179,TESS,clean/TESS/YAF_chain_angry.wav,YAF,angry,chain,2.1175056689342404,female
180,TESS,clean/TESS/YAF_late_disgust.wav,YAF,disgusted,late,2.379637188208617,female
181,TESS,clean/TESS/YAF_far_neutral.wav,YAF,neutral,far,2.156825396825397,female
182,TESS,clean/TESS/OAF_lose_neutral.wav,OAF,neutral,lose,2.199138321995465,female
183,TESS,clean/TESS/YAF_shall_sad.wav,YAF,sad,shall,2.198639455782313,female
184,TESS,clean/TESS/OAF_wash_fear.wav,OAF,fearful,wash,1.5406349206349206,female
185,TESS,clean/TESS/OAF_south_sad.wav,OAF,sad,south,2.720907029478458,female
186,TESS,clean/TESS/OAF_mode_happy.wav,OAF,happy,mode,1.9026303854875284,female
187,TESS,clean/TESS/YAF_check_angry.wav,YAF,angry,check,2.2183219954648528,female
188,TESS,clean/TESS/OAF_bar_happy.wav,OAF,happy,bar,2.0003628117913834,female
189,TESS,clean/TESS/YAF_ditch_sad.wav,YAF,sad,ditch,2.4305668934240363,female
190,TESS,clean/TESS/YAF_note_fear.wav,YAF,fearful,note,1.672063492063492,female
191,TESS,clean/TESS/OAF_reach_sad.wav,OAF,sad,reach,2.504671201814059,female
192,TESS,clean/TESS/OAF_hire_sad.wav,OAF,sad,hire,2.5384580498866214,female
193,TESS,clean/TESS/YAF_shirt_neutral.wav,YAF,neutral,shirt,2.0259410430839004,female
194,TESS,clean/TESS/YAF_fail_angry.wav,YAF,angry,fail,1.7898412698412698,female
195,TESS,clean/TESS/OAF_cheek_angry.wav,OAF,angry,cheek,1.681859410430839,female
196,TESS,clean/TESS/YAF_thought_happy.wav,YAF,happy,thought,1.9075736961451246,female
197,TESS,clean/TESS/OAF_pain_fear.wav,OAF,fearful,pain,1.7378231292517006,female
198,TESS,clean/TESS/YAF_deep_ps.wav,YAF,surprised,deep,1.8965079365079365,female
199,TESS,clean/TESS/YAF_wife_sad.wav,YAF,sad,wife,2.2364172335600907,female
200,TESS,clean/TESS/YAF_search_fear.wav,YAF,fearful,search,1.8341043083900226,female
201,TESS,clean/TESS/OAF_came_sad.wav,OAF,sad,came,2.4596825396825395,female
202,TESS,clean/TESS/YAF_south_neutral.wav,YAF,neutral,south,2.1887074829931974,female
203,TESS,clean/TESS/OAF_pick_ps.wav,OAF,surprised,pick,1.821904761904762,female
204,TESS,clean/TESS/YAF_tough_sad.wav,YAF,sad,tough,2.154467120181406,female
205,TESS,clean/TESS/YAF_which_angry.wav,YAF,angry,which,2.129206349206349,female
206,TESS,clean/TESS/YAF_dead_sad.wav,YAF,sad,dead,2.1530612244897958,female
207,TESS,clean/TESS/YAF_lot_angry.wav,YAF,angry,lot,1.9841723356009071,female
208,TESS,clean/TESS/OAF_sure_neutral.wav,OAF,neutral,sure,1.9287074829931974,female
209,TESS,clean/TESS/YAF_shack_ps.wav,YAF,surprised,shack,1.8063038548752834,female
210,TESS,clean/TESS/YAF_read_angry.wav,YAF,angry,read,2.1969160997732424,female
211,TESS,clean/TESS/OAF_whip_happy.wav,OAF,happy,whip,1.9502040816326531,female
212,TESS,clean/TESS/OAF_moon_fear.wav,OAF,fearful,moon,1.53718820861678,female
213,TESS,clean/TESS/YAF_kick_sad.wav,YAF,sad,kick,2.2942403628117916,female
214,TESS,clean/TESS/YAF_yearn_neutral.wav,YAF,neutral,yearn,1.8990022675736962,female
215,TESS,clean/TESS/YAF_half_sad.wav,YAF,sad,half,2.395283446712018,female
216,TESS,clean/TESS/YAF_goose_ps.wav,YAF,surprised,goose,2.243219954648526,female
217,TESS,clean/TESS/YAF_mop_ps.wav,YAF,surprised,mop,1.8866213151927438,female
218,TESS,clean/TESS/OAF_book_neutral.wav,OAF,neutral,book,1.7331065759637188,female
219,TESS,clean/TESS/OAF_yearn_angry.wav,OAF,angry,yearn,1.6277097505668934,female
220,TESS,clean/TESS/YAF_peg_disgust.wav,YAF,disgusted,peg,2.667437641723356,female
221,TESS,clean/TESS/YAF_dog_ps.wav,YAF,surprised,dog,1.8070294784580498,female
222,TESS,clean/TESS/YAF_make_sad.wav,YAF,sad,make,2.387482993197279,female
223,TESS,clean/TESS/YAF_vine_neutral.wav,YAF,neutral,vine,1.9941496598639457,female
224,TESS,clean/TESS/OAF_search_neutral.wav,OAF,neutral,search,2.2872562358276642,female
225,TESS,clean/TESS/YAF_pike_fear.wav,YAF,fearful,pike,1.6686167800453515,female
226,TESS,clean/TESS/OAF_nice_ps.wav,OAF,surprised,nice,2.1281632653061227,female
227,TESS,clean/TESS/OAF_keen_neutral.wav,OAF,neutral,keen,2.1448979591836737,female
228,TESS,clean/TESS/YAF_king_neutral.wav,YAF,neutral,king,2.1560997732426306,female
229,TESS,clean/TESS/YAF_thin_sad.wav,YAF,sad,thin,2.2924716553287983,female
230,TESS,clean/TESS/YAF_rough_angry.wav,YAF,angry,rough,2.0105215419501135,female
231,TESS,clean/TESS/YAF_youth_happy.wav,YAF,happy,youth,1.9313832199546486,female
232,TESS,clean/TESS/OAF_bought_fear.wav,OAF,fearful,bought,1.403265306122449,female
233,TESS,clean/TESS/YAF_haze_angry.wav,YAF,angry,haze,2.239138321995465,female
234,TESS,clean/TESS/YAF_seize_neutral.wav,YAF,neutral,seize,2.2478458049886623,female
235,TESS,clean/TESS/OAF_which_fear.wav,OAF,fearful,which,1.710702947845805,female
236,TESS,clean/TESS/YAF_gap_happy.wav,YAF,happy,gap,1.7196825396825397,female
237,TESS,clean/TESS/YAF_luck_fear.wav,YAF,fearful,luck,1.8038095238095238,female
238,TESS,clean/TESS/OAF_team_neutral.wav,OAF,neutral,team,2.153560090702948,female
239,TESS,clean/TESS/OAF_team_angry.wav,OAF,angry,team,1.599637188208617,female
240,TESS,clean/TESS/OAF_note_ps.wav,OAF,surprised,note,2.0398185941043083,female
241,TESS,clean/TESS/OAF_goal_fear.wav,OAF,fearful,goal,1.5933786848072562,female
242,TESS,clean/TESS/OAF_tape_neutral.wav,OAF,neutral,tape,1.749795918367347,female
243,TESS,clean/TESS/YAF_bite_neutral.wav,YAF,neutral,bite,2.026802721088435,female
244,TESS,clean/TESS/OAF_match_fear.wav,OAF,fearful,match,1.6424489795918367,female
245,TESS,clean/TESS/OAF_long_ps.wav,OAF,surprised,long,2.159365079365079,female
246,TESS,clean/TESS/OAF_rough_ps.wav,OAF,surprised,rough,2.223718820861678,female
247,TESS,clean/TESS/OAF_beg_fear.wav,OAF,fearful,beg,1.6635827664399092,female
248,TESS,clean/TESS/OAF_gaze_angry.wav,OAF,angry,gaze,1.6900226757369614,female
249,TESS,clean/TESS/OAF_kite_angry.wav,OAF,angry,kite,1.4924716553287982,female
250,TESS,clean/TESS/YAF_base_sad.wav,YAF,sad,base,2.2531972789115646,female
251,TESS,clean/TESS/OAF_time_fear.wav,OAF,fearful,time,1.513877551020408,female
252,TESS,clean/TESS/OAF_shawl_disgust.wav,OAF,disgusted,shawl,2.3968707482993197,female
253,TESS,clean/TESS/OAF_love_angry.wav,OAF,angry,love,1.5624489795918368,female
254,TESS,clean/TESS/YAF_ring_disgust.wav,YAF,disgusted,ring,2.3183219954648524,female
255,TESS,clean/TESS/YAF_tool_disgust.wav,YAF,disgusted,tool,2.3815419501133785,female
256,TESS,clean/TESS/YAF_talk_fear.wav,YAF,fearful,talk,1.8137868480725623,female
257,TESS,clean/TESS/OAF_limb_neutral.wav,OAF,neutral,limb,1.96702947845805,female
258,TESS,clean/TESS/YAF_calm_happy.wav,YAF,happy,calm,1.9620861678004535,female
259,TESS,clean/TESS/OAF_goose_happy.wav,OAF,happy,goose,1.8253061224489795,female
260,TESS,clean/TESS/OAF_pick_happy.wav,OAF,happy,pick,2.0673469387755103,female
261,TESS,clean/TESS/YAF_half_fear.wav,YAF,fearful,half,1.659092970521542,female
262,TESS,clean/TESS/YAF_take_happy.wav,YAF,happy,take,1.8824943310657596,female
263,TESS,clean/TESS/YAF_choice_angry.wav,YAF,angry,choice,1.8671655328798187,female
264,TESS,clean/TESS/YAF_keg_fear.wav,YAF,fearful,keg,1.829795918367347,female
265,TESS,clean/TESS/YAF_puff_disgust.wav,YAF,disgusted,puff,2.2655328798185943,female
266,TESS,clean/TESS/OAF_numb_happy.wav,OAF,happy,numb,2.023718820861678,female
267,TESS,clean/TESS/OAF_lid_ps.wav,OAF,surprised,lid,2.0039909297052154,female
268,TESS,clean/TESS/OAF_pass_fear.wav,OAF,fearful,pass,1.528390022675737,female
269,TESS,clean/TESS/YAF_dip_disgust.wav,YAF,disgusted,dip,2.3160997732426303,female
270,TESS,clean/TESS/YAF_rose_fear.wav,YAF,fearful,rose,1.7480725623582767,female
271,TESS,clean/TESS/OAF_hire_fear.wav,OAF,fearful,hire,1.6478004535147392,female
272,TESS,clean/TESS/OAF_wag_sad.wav,OAF,sad,wag,2.611519274376417,female
273,TESS,clean/TESS/YAF_walk_disgust.wav,YAF,disgusted,walk,2.422312925170068,female
274,TESS,clean/TESS/YAF_name_ps.wav,YAF,surprised,name,1.696281179138322,female
275,TESS,clean/TESS/YAF_size_sad.wav,YAF,sad,size,2.349342403628118,female
276,TESS,clean/TESS/YAF_sell_fear.wav,YAF,fearful,sell,1.6907029478458049,female
277,TESS,clean/TESS/OAF_judge_happy.wav,OAF,happy,judge,2.107981859410431,female
278,TESS,clean/TESS/YAF_mill_fear.wav,YAF,fearful,mill,1.5252154195011338,female
279,TESS,clean/TESS/OAF_gaze_disgust.wav,OAF,disgusted,gaze,2.634512471655329,female
280,TESS,clean/TESS/YAF_third_sad.wav,YAF,sad,third,2.290294784580499,female
281,TESS,clean/TESS/YAF_hire_happy.wav,YAF,happy,hire,1.8443990929705216,female
282,TESS,clean/TESS/OAF_room_sad.wav,OAF,sad,room,2.4259863945578233,female
283,TESS,clean/TESS/OAF_mouse_ps.wav,OAF,surprised,mouse,2.104172335600907,female
284,TESS,clean/TESS/YAF_lot_disgust.wav,YAF,disgusted,lot,2.46140589569161,female
285,TESS,clean/TESS/OAF_chain_disgust.wav,OAF,disgusted,chain,2.3499319727891157,female
286,TESS,clean/TESS/YAF_king_happy.wav,YAF,happy,king,1.7842630385487528,female
287,TESS,clean/TESS/OAF_fat_sad.wav,OAF,sad,fat,2.489795918367347,female
288,TESS,clean/TESS/OAF_hall_angry.wav,OAF,angry,hall,1.5029931972789117,female
289,TESS,clean/TESS/OAF_food_neutral.wav,OAF,neutral,food,1.90140589569161,female
290,TESS,clean/TESS/OAF_learn_ps.wav,OAF,surprised,learn,2.0659410430839,female
291,TESS,clean/TESS/YAF_dog_happy.wav,YAF,happy,dog,1.9243083900226758,female
292,TESS,clean/TESS/OAF_nag_neutral.wav,OAF,neutral,nag,2.142630385487528,female
293,TESS,clean/TESS/YAF_young_happy.wav,YAF,happy,young,1.8323356009070295,female
294,TESS,clean/TESS/OAF_mill_sad.wav,OAF,sad,mill,2.708027210884354,female
295,TESS,clean/TESS/OAF_judge_disgust.wav,OAF,disgusted,judge,2.3579591836734695,female
