,dataset,filename,actor,emotion,intensity,statement,repitition,length,gender
37,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-01-01-01-16.wav,16,sad,normal,01,01,1.6472562358276643,female
38,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-01-01-02-16.wav,16,disgusted,normal,01,02,1.8065306122448979,female
39,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-02-01-02-16.wav,16,angry,strong,01,02,1.9077551020408163,female
40,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-02-01-01-16.wav,16,fearful,strong,01,01,2.386575963718821,female
41,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-01-02-01-16.wav,16,fearful,normal,02,01,1.6617233560090703,female
42,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-01-02-02-16.wav,16,angry,normal,02,02,2.0109297052154194,female
43,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-01-01-02-16.wav,16,surprised,normal,01,02,1.5212244897959184,female
44,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-02-02-02-16.wav,16,surprised,strong,02,02,1.66875283446712,female
45,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-02-01-02-16.wav,16,sad,strong,01,02,1.9469387755102041,female
46,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-02-01-01-16.wav,16,disgusted,strong,01,01,2.2701587301587303,female
47,RAVDESS,clean/RAVDESS/Actor_16/03-01-07-01-02-01-16.wav,16,disgusted,normal,02,01,1.5626303854875283,female
48,RAVDESS,clean/RAVDESS/Actor_16/03-01-04-01-02-02-16.wav,16,sad,normal,02,02,1.6084807256235827,female
49,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-02-02-02-16.wav,16,fearful,strong,02,02,2.255918367346939,female
50,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-02-02-01-16.wav,16,angry,strong,02,01,1.9326530612244899,female
51,RAVDESS,clean/RAVDESS/Actor_16/03-01-05-01-01-01-16.wav,16,angry,normal,01,01,2.0695691609977325,female
52,RAVDESS,clean/RAVDESS/Actor_16/03-01-06-01-01-02-16.wav,16,fearful,normal,01,02,1.5535600907029479,female
53,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-01-02-01-16.wav,16,surprised,normal,02,01,1.5633106575963718,female
54,RAVDESS,clean/RAVDESS/Actor_16/03-01-08-02-01-01-16.wav,16,surprised,strong,01,01,1.629705215419501,female
55,RAVDESS,clean/RAVDESS/Actor_16/03-01-01-01-01-02-16.wav,16,neutral,normal,01,02,1.8141496598639455,female
56,RAVDESS,clean/RAVDESS/Actor_16/03-01-02-01-01-01-16.wav,16,calm,normal,01,01,1.712108843537415,female
57,RAVDESS,clean/RAVDESS/Actor_16/03-01-02-02-02-01-16.wav,16,calm,strong,02,01,1.87578231292517,female
58,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-01-02-02-16.wav,16,happy,normal,02,02,1.716281179138322,female
59,RAVDESS,clean/RAVDESS/Actor_16/03-01-03-02-01-02-16.wav,16,happy,strong,01,02,1.9184126984126983,female
60,RAVDESS,clean/RAVDESS/Actor_11/03-01-01-01-02-02-11.wav,11,neutral,normal,02,02,1.330249433106576,male
61,RAVDESS,clean/RAVDESS/Actor_11/03-01-02-01-02-01-11.wav,11,calm,normal,02,01,1.501859410430839,male
62,RAVDESS,clean/RAVDESS/Actor_11/03-01-02-02-01-01-11.wav,11,calm,strong,01,01,1.8224943310657595,male
63,RAVDESS,clean/RAVDESS/Actor_11/03-01-03-01-01-02-11.wav,11,happy,normal,01,02,1.3751473922902495,male
64,RAVDESS,clean/RAVDESS/Actor_11/03-01-03-02-02-02-11.wav,11,happy,strong,02,02,1.6342403628117914,male
65,RAVDESS,clean/RAVDESS/Actor_11/03-01-04-02-02-02-11.wav,11,sad,strong,02,02,1.7756009070294785,male
66,RAVDESS,clean/RAVDESS/Actor_11/03-01-07-02-02-01-11.wav,11,disgusted,strong,02,01,2.0421315192743763,male
67,RAVDESS,clean/RAVDESS/Actor_11/03-01-07-01-01-01-11.wav,11,disgusted,normal,01,01,1.8012698412698414,male
68,RAVDESS,clean/RAVDESS/Actor_11/03-01-04-01-01-02-11.wav,11,sad,normal,01,02,1.993469387755102,male
69,RAVDESS,clean/RAVDESS/Actor_11/03-01-06-02-01-02-11.wav,11,fearful,strong,01,02,1.6485260770975056,male
70,RAVDESS,clean/RAVDESS/Actor_11/03-01-05-02-01-01-11.wav,11,angry,strong,01,01,1.734421768707483,male
71,RAVDESS,clean/RAVDESS/Actor_11/03-01-05-01-02-01-11.wav,11,angry,normal,02,01,1.6386848072562359,male
72,RAVDESS,clean/RAVDESS/Actor_11/03-01-06-01-02-02-11.wav,11,fearful,normal,02,02,1.3575510204081633,male
73,RAVDESS,clean/RAVDESS/Actor_11/03-01-08-01-01-01-11.wav,11,surprised,normal,01,01,1.1312925170068027,male
74,RAVDESS,clean/RAVDESS/Actor_11/03-01-08-02-02-01-11.wav,11,surprised,strong,02,01,1.3516553287981858,male
75,RAVDESS,clean/RAVDESS/Actor_11/03-01-07-02-01-02-11.wav,11,disgusted,strong,01,02,2.4063492063492062,male
76,RAVDESS,clean/RAVDESS/Actor_11/03-01-04-02-01-01-11.wav,11,sad,strong,01,01,1.4851700680272109,male
77,RAVDESS,clean/RAVDESS/Actor_11/03-01-04-01-02-01-11.wav,11,sad,normal,02,01,1.6524716553287981,male
78,RAVDESS,clean/RAVDESS/Actor_11/03-01-07-01-02-02-11.wav,11,disgusted,normal,02,02,1.9769614512471656,male
79,RAVDESS,clean/RAVDESS/Actor_11/03-01-05-02-02-02-11.wav,11,angry,strong,02,02,2.2968707482993196,male
80,RAVDESS,clean/RAVDESS/Actor_11/03-01-06-02-02-01-11.wav,11,fearful,strong,02,01,1.850294784580499,male
81,RAVDESS,clean/RAVDESS/Actor_11/03-01-06-01-01-01-11.wav,11,fearful,normal,01,01,1.561904761904762,male
82,RAVDESS,clean/RAVDESS/Actor_11/03-01-05-01-01-02-11.wav,11,angry,normal,01,02,1.6318367346938776,male
83,RAVDESS,clean/RAVDESS/Actor_11/03-01-08-01-02-02-11.wav,11,surprised,normal,02,02,1.1193650793650793,male
84,RAVDESS,clean/RAVDESS/Actor_11/03-01-08-02-01-02-11.wav,11,surprised,strong,01,02,1.5870748299319728,male
85,RAVDESS,clean/RAVDESS/Actor_11/03-01-02-01-01-02-11.wav,11,calm,normal,01,02,1.5621315192743763,male
86,RAVDESS,clean/RAVDESS/Actor_11/03-01-01-01-01-01-11.wav,11,neutral,normal,01,01,1.2588662131519275,male
87,RAVDESS,clean/RAVDESS/Actor_11/03-01-02-02-02-02-11.wav,11,calm,strong,02,02,1.9444897959183673,male
88,RAVDESS,clean/RAVDESS/Actor_11/03-01-03-01-02-01-11.wav,11,happy,normal,02,01,1.291156462585034,male
89,RAVDESS,clean/RAVDESS/Actor_11/03-01-03-02-01-01-11.wav,11,happy,strong,01,01,2.164625850340136,male
90,RAVDESS,clean/RAVDESS/Actor_11/03-01-06-01-02-01-11.wav,11,fearful,normal,02,01,1.3361904761904762,male
91,RAVDESS,clean/RAVDESS/Actor_11/03-01-05-01-02-02-11.wav,11,angry,normal,02,02,1.9557823129251701,male
92,RAVDESS,clean/RAVDESS/Actor_11/03-01-05-02-01-02-11.wav,11,angry,strong,01,02,2.1943310657596373,male
93,RAVDESS,clean/RAVDESS/Actor_11/03-01-06-02-01-01-11.wav,11,fearful,strong,01,01,1.5515646258503402,male
94,RAVDESS,clean/RAVDESS/Actor_11/03-01-04-01-01-01-11.wav,11,sad,normal,01,01,1.4298866213151928,male
95,RAVDESS,clean/RAVDESS/Actor_11/03-01-07-01-01-02-11.wav,11,disgusted,normal,01,02,1.7639002267573696,male
96,RAVDESS,clean/RAVDESS/Actor_11/03-01-07-02-02-02-11.wav,11,disgusted,strong,02,02,2.066530612244898,male
97,RAVDESS,clean/RAVDESS/Actor_11/03-01-04-02-02-01-11.wav,11,sad,strong,02,01,1.51578231292517,male
98,RAVDESS,clean/RAVDESS/Actor_11/03-01-08-02-02-02-11.wav,11,surprised,strong,02,02,1.4491156462585033,male
99,RAVDESS,clean/RAVDESS/Actor_11/03-01-08-01-01-02-11.wav,11,surprised,normal,01,02,1.2453514739229026,male
100,RAVDESS,clean/RAVDESS/Actor_11/03-01-03-02-02-01-11.wav,11,happy,strong,02,01,2.0126984126984127,male
101,RAVDESS,clean/RAVDESS/Actor_11/03-01-03-01-01-01-11.wav,11,happy,normal,01,01,1.174875283446712,male
102,RAVDESS,clean/RAVDESS/Actor_11/03-01-02-02-01-02-11.wav,11,calm,strong,01,02,1.5882539682539683,male
103,RAVDESS,clean/RAVDESS/Actor_11/03-01-02-01-02-02-11.wav,11,calm,normal,02,02,1.7689342403628119,male
104,RAVDESS,clean/RAVDESS/Actor_11/03-01-01-01-02-01-11.wav,11,neutral,normal,02,01,1.3391836734693878,male
105,RAVDESS,clean/RAVDESS/Actor_11/03-01-03-02-01-02-11.wav,11,happy,strong,01,02,2.513061224489796,male
106,RAVDESS,clean/RAVDESS/Actor_11/03-01-03-01-02-02-11.wav,11,happy,normal,02,02,1.3470294784580499,male
107,RAVDESS,clean/RAVDESS/Actor_11/03-01-02-02-02-01-11.wav,11,calm,strong,02,01,1.8601814058956916,male
108,RAVDESS,clean/RAVDESS/Actor_11/03-01-01-01-01-02-11.wav,11,neutral,normal,01,02,1.2616326530612245,male
109,RAVDESS,clean/RAVDESS/Actor_11/03-01-02-01-01-01-11.wav,11,calm,normal,01,01,1.4463945578231292,male
110,RAVDESS,clean/RAVDESS/Actor_11/03-01-05-01-01-01-11.wav,11,angry,normal,01,01,1.725124716553288,male
111,RAVDESS,clean/RAVDESS/Actor_11/03-01-06-01-01-02-11.wav,11,fearful,normal,01,02,1.6321995464852608,male
112,RAVDESS,clean/RAVDESS/Actor_11/03-01-06-02-02-02-11.wav,11,fearful,strong,02,02,1.8243990929705216,male
113,RAVDESS,clean/RAVDESS/Actor_11/03-01-05-02-02-01-11.wav,11,angry,strong,02,01,2.9286621315192742,male
114,RAVDESS,clean/RAVDESS/Actor_11/03-01-07-01-02-01-11.wav,11,disgusted,normal,02,01,1.5776417233560092,male
115,RAVDESS,clean/RAVDESS/Actor_11/03-01-04-01-02-02-11.wav,11,sad,normal,02,02,1.5184126984126984,male
116,RAVDESS,clean/RAVDESS/Actor_11/03-01-04-02-01-02-11.wav,11,sad,strong,01,02,2.2691609977324263,male
117,RAVDESS,clean/RAVDESS/Actor_11/03-01-07-02-01-01-11.wav,11,disgusted,strong,01,01,1.9847619047619047,male
118,RAVDESS,clean/RAVDESS/Actor_11/03-01-08-02-01-01-11.wav,11,surprised,strong,01,01,1.1924716553287982,male
119,RAVDESS,clean/RAVDESS/Actor_11/03-01-08-01-02-01-11.wav,11,surprised,normal,02,01,1.2937868480725623,male
120,RAVDESS,clean/RAVDESS/Actor_18/03-01-03-02-01-02-18.wav,18,happy,strong,01,02,2.2235374149659863,female
121,RAVDESS,clean/RAVDESS/Actor_18/03-01-03-01-02-02-18.wav,18,happy,normal,02,02,1.6193197278911564,female
122,RAVDESS,clean/RAVDESS/Actor_18/03-01-02-02-02-01-18.wav,18,calm,strong,02,01,1.7429024943310658,female
123,RAVDESS,clean/RAVDESS/Actor_18/03-01-02-01-01-01-18.wav,18,calm,normal,01,01,1.5291156462585034,female
124,RAVDESS,clean/RAVDESS/Actor_18/03-01-01-01-01-02-18.wav,18,neutral,normal,01,02,1.5761451247165532,female
125,RAVDESS,clean/RAVDESS/Actor_18/03-01-06-01-01-02-18.wav,18,fearful,normal,01,02,1.4873922902494332,female
126,RAVDESS,clean/RAVDESS/Actor_18/03-01-05-01-01-01-18.wav,18,angry,normal,01,01,1.9859410430839002,female
127,RAVDESS,clean/RAVDESS/Actor_18/03-01-05-02-02-01-18.wav,18,angry,strong,02,01,1.9268027210884353,female
128,RAVDESS,clean/RAVDESS/Actor_18/03-01-06-02-02-02-18.wav,18,fearful,strong,02,02,2.0192743764172336,female
129,RAVDESS,clean/RAVDESS/Actor_18/03-01-04-01-02-02-18.wav,18,sad,normal,02,02,1.7074829931972788,female
130,RAVDESS,clean/RAVDESS/Actor_18/03-01-07-01-02-01-18.wav,18,disgusted,normal,02,01,1.7887528344671202,female
131,RAVDESS,clean/RAVDESS/Actor_18/03-01-07-02-01-01-18.wav,18,disgusted,strong,01,01,2.345487528344671,female
132,RAVDESS,clean/RAVDESS/Actor_18/03-01-04-02-01-02-18.wav,18,sad,strong,01,02,2.1789569160997733,female
133,RAVDESS,clean/RAVDESS/Actor_18/03-01-08-02-01-01-18.wav,18,surprised,strong,01,01,1.690294784580499,female
134,RAVDESS,clean/RAVDESS/Actor_18/03-01-08-01-02-01-18.wav,18,surprised,normal,02,01,1.6336507936507936,female
135,RAVDESS,clean/RAVDESS/Actor_18/03-01-05-01-02-02-18.wav,18,angry,normal,02,02,1.7694331065759636,female
136,RAVDESS,clean/RAVDESS/Actor_18/03-01-06-01-02-01-18.wav,18,fearful,normal,02,01,1.684671201814059,female
137,RAVDESS,clean/RAVDESS/Actor_18/03-01-06-02-01-01-18.wav,18,fearful,strong,01,01,2.0118820861678004,female
138,RAVDESS,clean/RAVDESS/Actor_18/03-01-05-02-01-02-18.wav,18,angry,strong,01,02,1.8326984126984127,female
139,RAVDESS,clean/RAVDESS/Actor_18/03-01-07-01-01-02-18.wav,18,disgusted,normal,01,02,2.100453514739229,female
140,RAVDESS,clean/RAVDESS/Actor_18/03-01-04-01-01-01-18.wav,18,sad,normal,01,01,1.58,female
141,RAVDESS,clean/RAVDESS/Actor_18/03-01-04-02-02-01-18.wav,18,sad,strong,02,01,2.507936507936508,female
142,RAVDESS,clean/RAVDESS/Actor_18/03-01-07-02-02-02-18.wav,18,disgusted,strong,02,02,2.4573242630385486,female
143,RAVDESS,clean/RAVDESS/Actor_18/03-01-08-02-02-02-18.wav,18,surprised,strong,02,02,1.703310657596372,female
144,RAVDESS,clean/RAVDESS/Actor_18/03-01-08-01-01-02-18.wav,18,surprised,normal,01,02,1.5631746031746032,female
145,RAVDESS,clean/RAVDESS/Actor_18/03-01-03-02-02-01-18.wav,18,happy,strong,02,01,2.0239909297052154,female
146,RAVDESS,clean/RAVDESS/Actor_18/03-01-03-01-01-01-18.wav,18,happy,normal,01,01,1.5188208616780046,female
147,RAVDESS,clean/RAVDESS/Actor_18/03-01-02-02-01-02-18.wav,18,calm,strong,01,02,1.719455782312925,female
148,RAVDESS,clean/RAVDESS/Actor_18/03-01-01-01-02-01-18.wav,18,neutral,normal,02,01,1.5530612244897959,female
149,RAVDESS,clean/RAVDESS/Actor_18/03-01-02-01-02-02-18.wav,18,calm,normal,02,02,1.66140589569161,female
150,RAVDESS,clean/RAVDESS/Actor_18/03-01-04-02-01-01-18.wav,18,sad,strong,01,01,2.207074829931973,female
151,RAVDESS,clean/RAVDESS/Actor_18/03-01-07-02-01-02-18.wav,18,disgusted,strong,01,02,2.179546485260771,female
152,RAVDESS,clean/RAVDESS/Actor_18/03-01-07-01-02-02-18.wav,18,disgusted,normal,02,02,2.1720634920634923,female
153,RAVDESS,clean/RAVDESS/Actor_18/03-01-04-01-02-01-18.wav,18,sad,normal,02,01,1.6296145124716552,female
154,RAVDESS,clean/RAVDESS/Actor_18/03-01-06-02-02-01-18.wav,18,fearful,strong,02,01,1.915827664399093,female
155,RAVDESS,clean/RAVDESS/Actor_18/03-01-05-02-02-02-18.wav,18,angry,strong,02,02,2.325215419501134,female
156,RAVDESS,clean/RAVDESS/Actor_18/03-01-05-01-01-02-18.wav,18,angry,normal,01,02,2.2517913832199548,female
157,RAVDESS,clean/RAVDESS/Actor_18/03-01-06-01-01-01-18.wav,18,fearful,normal,01,01,1.6590022675736962,female
158,RAVDESS,clean/RAVDESS/Actor_18/03-01-08-01-02-02-18.wav,18,surprised,normal,02,02,1.5614512471655329,female
159,RAVDESS,clean/RAVDESS/Actor_18/03-01-08-02-01-02-18.wav,18,surprised,strong,01,02,1.582358276643991,female
160,RAVDESS,clean/RAVDESS/Actor_18/03-01-01-01-01-01-18.wav,18,neutral,normal,01,01,1.511201814058957,female
161,RAVDESS,clean/RAVDESS/Actor_18/03-01-02-01-01-02-18.wav,18,calm,normal,01,02,1.5112471655328799,female
162,RAVDESS,clean/RAVDESS/Actor_18/03-01-02-02-02-02-18.wav,18,calm,strong,02,02,1.6846258503401361,female
163,RAVDESS,clean/RAVDESS/Actor_18/03-01-03-01-02-01-18.wav,18,happy,normal,02,01,1.5431746031746032,female
164,RAVDESS,clean/RAVDESS/Actor_18/03-01-03-02-01-01-18.wav,18,happy,strong,01,01,1.8771882086167802,female
165,RAVDESS,clean/RAVDESS/Actor_18/03-01-02-01-02-01-18.wav,18,calm,normal,02,01,1.8131972789115647,female
166,RAVDESS,clean/RAVDESS/Actor_18/03-01-01-01-02-02-18.wav,18,neutral,normal,02,02,1.5098866213151927,female
167,RAVDESS,clean/RAVDESS/Actor_18/03-01-02-02-01-01-18.wav,18,calm,strong,01,01,1.6551473922902495,female
168,RAVDESS,clean/RAVDESS/Actor_18/03-01-03-01-01-02-18.wav,18,happy,normal,01,02,1.4763718820861678,female
169,RAVDESS,clean/RAVDESS/Actor_18/03-01-03-02-02-02-18.wav,18,happy,strong,02,02,2.0081179138321996,female
170,RAVDESS,clean/RAVDESS/Actor_18/03-01-07-02-02-01-18.wav,18,disgusted,strong,02,01,2.427845804988662,female
171,RAVDESS,clean/RAVDESS/Actor_18/03-01-04-02-02-02-18.wav,18,sad,strong,02,02,2.3337868480725623,female
172,RAVDESS,clean/RAVDESS/Actor_18/03-01-04-01-01-02-18.wav,18,sad,normal,01,02,1.7391383219954648,female
173,RAVDESS,clean/RAVDESS/Actor_18/03-01-07-01-01-01-18.wav,18,disgusted,normal,01,01,2.0657596371882088,female
174,RAVDESS,clean/RAVDESS/Actor_18/03-01-05-02-01-01-18.wav,18,angry,strong,01,01,1.7693877551020407,female
175,RAVDESS,clean/RAVDESS/Actor_18/03-01-06-02-01-02-18.wav,18,fearful,strong,01,02,2.2265759637188207,female
176,RAVDESS,clean/RAVDESS/Actor_18/03-01-06-01-02-02-18.wav,18,fearful,normal,02,02,1.845170068027211,female
177,RAVDESS,clean/RAVDESS/Actor_18/03-01-05-01-02-01-18.wav,18,angry,normal,02,01,1.7123809523809523,female
178,RAVDESS,clean/RAVDESS/Actor_18/03-01-08-01-01-01-18.wav,18,surprised,normal,01,01,1.5017233560090704,female
179,RAVDESS,clean/RAVDESS/Actor_18/03-01-08-02-02-01-18.wav,18,surprised,strong,02,01,1.9372789115646258,female
180,RAVDESS,clean/RAVDESS/Actor_20/03-01-08-01-02-01-20.wav,20,surprised,normal,02,01,1.1938321995464853,female
181,RAVDESS,clean/RAVDESS/Actor_20/03-01-08-02-01-01-20.wav,20,surprised,strong,01,01,2.052471655328798,female
182,RAVDESS,clean/RAVDESS/Actor_20/03-01-04-02-01-02-20.wav,20,sad,strong,01,02,2.6271655328798187,female
183,RAVDESS,clean/RAVDESS/Actor_20/03-01-07-02-01-01-20.wav,20,disgusted,strong,01,01,1.9425396825396826,female
184,RAVDESS,clean/RAVDESS/Actor_20/03-01-07-01-02-01-20.wav,20,disgusted,normal,02,01,1.6410430839002268,female
185,RAVDESS,clean/RAVDESS/Actor_20/03-01-04-01-02-02-20.wav,20,sad,normal,02,02,1.2459410430839002,female
186,RAVDESS,clean/RAVDESS/Actor_20/03-01-06-02-02-02-20.wav,20,fearful,strong,02,02,2.920861678004535,female
187,RAVDESS,clean/RAVDESS/Actor_20/03-01-05-02-02-01-20.wav,20,angry,strong,02,01,2.6956462585034013,female
188,RAVDESS,clean/RAVDESS/Actor_20/03-01-05-01-01-01-20.wav,20,angry,normal,01,01,1.191655328798186,female
189,RAVDESS,clean/RAVDESS/Actor_20/03-01-06-01-01-02-20.wav,20,fearful,normal,01,02,1.3417687074829932,female
190,RAVDESS,clean/RAVDESS/Actor_20/03-01-01-01-01-02-20.wav,20,neutral,normal,01,02,1.5703854875283447,female
191,RAVDESS,clean/RAVDESS/Actor_20/03-01-02-01-01-01-20.wav,20,calm,normal,01,01,1.4436281179138322,female
192,RAVDESS,clean/RAVDESS/Actor_20/03-01-02-02-02-01-20.wav,20,calm,strong,02,01,1.306938775510204,female
193,RAVDESS,clean/RAVDESS/Actor_20/03-01-03-01-02-02-20.wav,20,happy,normal,02,02,1.4394104308390023,female
194,RAVDESS,clean/RAVDESS/Actor_20/03-01-03-02-01-02-20.wav,20,happy,strong,01,02,2.8726984126984125,female
195,RAVDESS,clean/RAVDESS/Actor_20/03-01-02-01-02-02-20.wav,20,calm,normal,02,02,1.4624036281179138,female
196,RAVDESS,clean/RAVDESS/Actor_20/03-01-01-01-02-01-20.wav,20,neutral,normal,02,01,1.4389569160997733,female
197,RAVDESS,clean/RAVDESS/Actor_20/03-01-02-02-01-02-20.wav,20,calm,strong,01,02,1.3555555555555556,female
198,RAVDESS,clean/RAVDESS/Actor_20/03-01-03-01-01-01-20.wav,20,happy,normal,01,01,1.5871655328798187,female
199,RAVDESS,clean/RAVDESS/Actor_20/03-01-03-02-02-01-20.wav,20,happy,strong,02,01,1.7174603174603174,female
200,RAVDESS,clean/RAVDESS/Actor_20/03-01-08-01-01-02-20.wav,20,surprised,normal,01,02,1.6058049886621315,female
201,RAVDESS,clean/RAVDESS/Actor_20/03-01-08-02-02-02-20.wav,20,surprised,strong,02,02,1.5273015873015874,female
202,RAVDESS,clean/RAVDESS/Actor_20/03-01-07-02-02-02-20.wav,20,disgusted,strong,02,02,2.2033560090702946,female
203,RAVDESS,clean/RAVDESS/Actor_20/03-01-04-02-02-01-20.wav,20,sad,strong,02,01,1.6285714285714286,female
204,RAVDESS,clean/RAVDESS/Actor_20/03-01-04-01-01-01-20.wav,20,sad,normal,01,01,1.386439909297052,female
205,RAVDESS,clean/RAVDESS/Actor_20/03-01-07-01-01-02-20.wav,20,disgusted,normal,01,02,1.5809523809523809,female
206,RAVDESS,clean/RAVDESS/Actor_20/03-01-05-02-01-02-20.wav,20,angry,strong,01,02,2.8379138321995465,female
207,RAVDESS,clean/RAVDESS/Actor_20/03-01-06-02-01-01-20.wav,20,fearful,strong,01,01,3.7863038548752836,female
208,RAVDESS,clean/RAVDESS/Actor_20/03-01-06-01-02-01-20.wav,20,fearful,normal,02,01,1.3394557823129252,female
209,RAVDESS,clean/RAVDESS/Actor_20/03-01-05-01-02-02-20.wav,20,angry,normal,02,02,2.4379591836734695,female
210,RAVDESS,clean/RAVDESS/Actor_20/03-01-03-02-01-01-20.wav,20,happy,strong,01,01,1.7453968253968255,female
211,RAVDESS,clean/RAVDESS/Actor_20/03-01-03-01-02-01-20.wav,20,happy,normal,02,01,1.679954648526077,female
212,RAVDESS,clean/RAVDESS/Actor_20/03-01-02-02-02-02-20.wav,20,calm,strong,02,02,1.3569614512471655,female
